id,origin,lon,lat,site,latloncheck
1436,Sala - PEW,24.327,39.333,PIPERI,24.32739.333
1437,Sala - PEW,24.329,39.345,PIPERI,24.32939.345
1438,Sala - PEW,24.329,39.345,PIPERI,24.32939.345
1439,Sala - PEW,24.329,39.345,PIPERI,24.32939.345
1440,Sala - PEW,24.334,39.358,PIPERI,24.33439.358
1441,Sala - PEW,24.334,39.358,PIPERI,24.33439.358
1442,Sala - PEW,24.334,39.358,PIPERI,24.33439.358
1443,Sala - PEW,24.331,39.37,PIPERI,24.33139.37
1444,Sala - PEW,24.331,39.37,PIPERI,24.33139.37
1445,Sala - PEW,24.331,39.37,PIPERI,24.33139.37
1446,Sala - PEW,24.322,39.368,PIPERI,24.32239.368
1447,Sala - PEW,24.322,39.368,PIPERI,24.32239.368
1448,Sala - PEW,24.322,39.368,PIPERI,24.32239.368
1449,Sala - PEW,24.331,39.367,PIPERI,24.33139.367
1450,Sala - PEW,24.331,39.367,PIPERI,24.33139.367
1451,Sala - PEW,24.331,39.367,PIPERI,24.33139.367
1452,Sala - PEW,9.158,44.315,PORTOFINO,9.15844.315
1453,Sala - PEW,9.158,44.315,PORTOFINO,9.15844.315
1454,Sala - PEW,9.158,44.315,PORTOFINO,9.15844.315
1455,Sala - PEW,9.162,44.316,PORTOFINO,9.16244.316
1456,Sala - PEW,9.162,44.316,PORTOFINO,9.16244.316
1457,Sala - PEW,9.162,44.316,PORTOFINO,9.16244.316
1458,Sala - PEW,9.165,44.316,PORTOFINO,9.16544.316
1459,Sala - PEW,9.165,44.316,PORTOFINO,9.16544.316
1460,Sala - PEW,9.165,44.316,PORTOFINO,9.16544.316
1461,Sala - PEW,9.166,44.313,PORTOFINO,9.16644.313
1462,Sala - PEW,9.166,44.313,PORTOFINO,9.16644.313
1463,Sala - PEW,9.166,44.313,PORTOFINO,9.16644.313
1464,Sala - PEW,9.781,40.876,TAVOLARA,9.78140.876
1465,Sala - PEW,9.781,40.876,TAVOLARA,9.78140.876
1466,Sala - PEW,9.781,40.876,TAVOLARA,9.78140.876
